Starting Experiment with Threshold 0.1
Stopping on first fine-grained match below threshold
Buffers sized less than 10 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fine-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000008859,0,,,,89,18497677,192
0000008858,0,,,,690,18497677,194
0000008857,0,,,,1414,18497677,196
0000008856,0,,,,1413,18497677,194
0000008855,0,,,,1414,18497677,193
0000008854,0,,,,1412,18497677,195
0000008853,0,,,,1416,18497677,194
0000008852,0,,,,1418,18497677,196
0000008851,0,,,,1415,18497677,196
0000008850,0,,,,1412,18497677,196
0000008849,0,,,,1411,18497677,195
0000008848,0,,,,1412,18497677,194
0000008847,0,,,,1411,18497677,195
0000008846,0,,,,1409,18497677,195
0000008845,0,,,,1415,18497677,194
0000008844,0,,,,1411,18497677,200
0000008843,0,,,,1411,18497677,197
0000008842,0,,,,1415,18497677,195
0000008841,0,,,,1413,18497677,196
0000008840,0,,,,1414,18497677,193
0000008839,0,,,,402,18497677,193
0000008838,0,,,,1412,18497677,194
0000008837,0,,,,1416,18497677,195
0000008836,0,,,,1414,18497677,193
0000008835,0,,,,1412,18497677,194
0000008834,0,,,,1414,18497677,212
0000008833,0,,,,1416,18497677,201
0000008832,0,,,,1412,18497677,202
0000008831,0,,,,1410,18497677,196
0000008830,0,,,,1412,18497677,194
0000008829,0,,,,1411,18497677,195
0000008828,0,,,,1412,18497677,194
0000008827,0,,,,1412,18497677,195
0000008826,0,,,,1413,18497677,200
0000008825,0,,,,1414,18497677,195
0000008824,0,,,,1413,18497677,195
0000008823,0,,,,1416,18497677,198
0000008822,0,,,,1415,18497677,201
0000008821,0,,,,1411,18497677,196
0000008820,0,,,,1417,18497677,194
0000008819,0,,,,1412,18497677,194
0000008818,0,,,,1411,18497677,198
0000008817,0,,,,1411,18497677,194
0000008816,0,,,,1417,18497677,196
0000008815,0,,,,93,18497677,191
0000008814,0,,,,784,18497677,201
0000008813,0,,,,1414,18497677,194
0000008812,0,,,,1413,18497677,195
0000008811,0,,,,89,18497677,192
0000008810,0,,,,192,18497677,194
0000008809,0,,,,1422,18497677,197
0000008808,0,,,,1413,18497677,196
0000008807,0,,,,1413,18497677,198
0000008806,0,,,,1411,18497677,198
0000008805,0,,,,1412,18497677,194
0000008804,0,,,,1418,18497677,194
0000008803,0,,,,1415,18497677,195
0000008802,0,,,,1416,18497677,213
0000008801,0,,,,1413,18497677,215
0000008800,0,,,,1412,18497677,213
0000008799,0,,,,1413,18497677,208
0000008798,0,,,,1413,18497677,195
0000008797,0,,,,1414,18497677,196
0000008796,0,,,,1415,18497677,195
0000008795,0,,,,1412,18497677,194
0000008794,0,,,,1417,18497677,194
0000008793,0,,,,1416,18497677,195
0000008792,0,,,,92,18497677,192
0000008791,0,,,,960,18497677,195
0000008790,0,,,,1423,18497677,195
0000008789,0,,,,89,18497677,201
0000008788,,,,,17,18497677,0
0000008787,0,,,,1015,18497677,194
0000008786,0,,,,1414,18497677,194
0000008785,0,,,,1413,18497677,205
0000008784,0,,,,1415,18497677,195
0000008783,0,,,,1416,18497677,198
0000008782,0,,,,1416,18497677,214
0000008781,0,,,,1411,18497677,203
0000008780,0,,,,1414,18497677,196
0000008779,0,,,,1410,18497677,210
0000008778,0,,,,1415,18497677,213
0000008777,0,,,,1411,18497677,198
0000008776,0,,,,1415,18497677,194
0000008775,0,,,,1413,18497677,196
0000008774,0,,,,1412,18497677,198
0000008773,0,,,,1412,18497677,205
0000008772,0,,,,405,18497677,201
0000008771,0,,,,1415,18497677,199
0000008770,0,,,,1409,18497677,202
0000008769,0,,,,1412,18497677,201
0000008768,0,,,,1414,18497677,203
0000008767,0,,,,1412,18497677,199
0000008766,0,,,,1412,18497677,201
0000008765,0,,,,1411,18497677,204
0000008764,0,,,,1415,18497677,205
0000008763,0,,,,1416,18497677,206
0000008762,0,,,,1412,18497677,204
0000008761,0,,,,1414,18497677,200
