Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000117,0,0.0,241758,1379,1045049,4
0000000118,0,0.0,241756,1377,1045047,6
0000000119,0,0.0,241756,1376,1045047,4
0000000120,0,0.0,241755,1377,1045045,6
0000000121,0,0.0,241758,1379,1045047,5
0000000122,0,0.0,241758,1373,1045043,4
0000000123,0,0.0,241758,1383,1045053,5
0000000124,0,0.0,241758,1379,1045044,4
0000000125,0,0.0,241759,1373,1045039,5
0000000126,0,0.0,241758,1385,1045052,8
0000000127,0,0.0,241759,1372,1045040,5
0000000128,0,0.0,241756,1379,1045046,5
0000000129,0,0.0,241757,1377,1045043,4
0000000130,0,0.0,241750,1373,1045044,6
0000000131,0,0.0,241756,1200,1045043,7
0000000132,0,0.0,278671,219,1045037,9
0000000133,0,0.0,5,1,1045030,2
0000000134,0,0.0,278670,16,1045030,5
0000000135,0,0.0,278693,37,1045047,6
0000000136,0,0.0,368873,218,1045041,7
0000000137,0,0.0,5,1,1045040,2
0000000138,0,0.0,368871,16,1045040,10
0000000139,0,0.0,278686,37,1045047,5
0000000140,0,0.0,241772,1375,1045047,4
0000000141,0,0.0,241781,1372,1045114,8
0000000142,0,0.0,241786,1374,1045127,5
0000000143,0,0.0,241787,1376,1045135,4
0000000144,0,0.0,241787,1371,1045116,5
0000000145,0,0.0,241786,1381,1045120,4
0000000146,0,0.0,836015,219,1045035,15
0000000147,0,0.0,5,1,1045033,2
0000000148,0,0.0,836014,16,1045033,12
0000000149,0,0.0,836005,37,1045028,20
0000000150,0,0.0,901683,71,1045105,12
0000000151,0,8.131734092295182E-4,901679,4919,1045156,12
0000000152,0,0.0,901846,337,1045299,12
0000000153,0,0.0,24303,4,1045300,2
0000000154,0,0.0,450976,220,1045305,9
0000000155,0,0.0,5,1,1045305,2
0000000156,0,0.0,450979,17,1045305,7
0000000157,0,0.0,278792,37,1045274,5
0000000158,0,0.0,241876,1377,1045073,6
0000000159,0,0.0,241875,1375,1045073,6
0000000160,0,0.0,241876,1376,1045078,5
0000000161,0,0.0,241877,1375,1045071,6
0000000162,0,0.0,241875,1379,1045078,5
0000000163,0,0.0,241876,1376,1045075,5
0000000164,0,0.0,241875,1374,1045072,6
0000000165,0,0.0,241876,1374,1045071,5
0000000166,0,0.0,241876,1382,1045080,6
0000000167,0,0.0,241876,1376,1045075,6
0000000168,0,0.0,241873,1372,1045068,5
0000000169,0,0.0,241876,1377,1045073,6
0000000170,0,0.0,241875,1377,1045072,7
0000000171,0,0.0,241874,1376,1045078,5
0000000172,0,0.0,241875,1377,1045079,5
0000000173,0,0.0,241876,1376,1045080,5
0000000174,0,0.0,241875,1375,1045083,5
0000000175,0,0.0,241875,1379,1045092,5
0000000176,0,0.0,241876,1377,1045101,5
0000000177,0,0.0,241876,1377,1045102,5
0000000178,0,0.0,241875,1381,1045104,6
0000000179,0,0.0,241877,1379,1045103,5
0000000180,0,0.0,241876,1383,1045104,6
0000000181,0,0.0,241875,1376,1045128,6
0000000182,0,0.0,241875,1374,1045126,5
0000000183,0,0.0,241874,1376,1045126,6
0000000184,0,0.0,241872,1375,1045124,5
0000000185,0,0.0,241876,1372,1045123,4
0000000186,0,0.0,241873,1377,1045124,5
0000000187,0,0.0,241876,1379,1045162,5
0000000188,0,0.0,241877,1376,1045157,4
0000000189,0,0.0,241874,1377,1045162,7
0000000190,0,0.0,241875,1375,1045158,5
0000000191,0,0.0,241876,1379,1045163,5
0000000192,0,0.0,241876,1384,1045164,4
0000000193,0,0.0,241876,1377,1045154,6
0000000194,0,0.0,241876,1379,1045157,5
0000000195,0,0.0,241876,1380,1045159,5
0000000196,0,0.0,241876,1375,1045186,6
0000000197,0,0.0,241877,1377,1045188,6
0000000198,0,0.0,241875,1376,1045188,4
0000000199,0,0.0,241875,1373,1045184,6
0000000200,0,0.0,241871,1372,1045178,5
0000000201,0,0.0,241871,1376,1045187,5
0000000202,0,0.0,241876,1374,1045187,9
0000000203,0,0.0,241876,1382,1045189,5
0000000204,0,0.0,241876,1373,1045180,5
0000000205,0,0.0,241876,1373,1045181,5
0000000206,0,0.0,241882,1373,1045165,5
0000000207,0,0.0,241882,1374,1045171,4
0000000208,0,0.0,241881,1376,1045168,8
0000000209,0,0.0,241881,1381,1045176,4
0000000210,0,0.0,241872,1375,1045146,5
0000000211,0,0.0,241873,1033,1045145,11
0000000212,0,0.0,241874,1378,1045147,5
0000000213,0,0.0,241871,1374,1045174,5
0000000214,0,0.0,241872,1379,1045181,5
0000000215,0,0.0,241873,1378,1045178,6
0000000216,0,0.0,241873,1371,1045183,5
0000000217,0,0.0,241873,1374,1045175,5
0000000218,0,0.0,241871,1380,1045182,6
0000000219,0,0.0,241873,1381,1045181,5
0000000220,0,0.0,241873,1377,1045218,7
0000000221,0,0.0,241873,1376,1045179,5
0000000222,0,0.0,241873,1377,1045180,5
0000000223,0,0.0,241871,1373,1045174,5
0000000224,0,0.0,241870,1380,1045184,5
0000000225,0,0.0,241873,1376,1045174,8
0000000226,0,0.0,241873,1374,1045174,5
0000000227,0,0.0,241871,1380,1045178,5
0000000228,0,0.0,241872,1372,1045222,4
0000000229,0,0.0,241872,1379,1045181,5
0000000230,0,0.0,241872,1373,1045173,5
0000000231,0,0.0,241873,1380,1045180,5
0000000232,0,0.0,241873,1379,1045182,6
0000000233,0,0.0,241872,1382,1045185,4
0000000234,0,0.0,241873,1379,1045179,6
0000000235,0,0.0,241868,1374,1045187,5
0000000236,0,0.0,241872,1373,1045175,6
0000000237,0,0.0,241872,1376,1045180,5
0000000238,0,0.0,241873,1378,1045179,5
0000000239,0,0.0,241871,1376,1045206,4
0000000240,0,0.0,241873,1381,1045216,6
0000000241,0,0.0,241873,1378,1045208,9
0000000242,0,0.0,241873,1372,1045228,4
0000000243,0,0.0,241873,1374,1045234,5
0000000244,0,0.0,241871,1376,1045234,5
0000000245,0,0.0,241873,1374,1045259,8
0000000246,0,0.0,241873,1374,1045255,5
0000000247,0,0.0,241872,1374,1045258,4
0000000248,0,0.0,241873,1374,1045262,6
0000000249,0,0.0,241872,1375,1045259,5
0000000250,0,0.0,241873,1381,1045269,6
0000000251,0,0.0,241873,1379,1045266,5
0000000252,0,0.0,241872,1377,1045266,6
0000000253,0,0.0,241872,1373,1045256,5
0000000254,0,0.0,241871,1383,1045270,6
0000000255,0,0.0,241873,1379,1045265,8
0000000256,0,0.0,241873,1375,1045291,5
0000000257,0,0.0,241874,1376,1045297,6
0000000258,0,0.0,241872,1377,1045289,5
0000000259,0,0.0,241872,1379,1045291,5
0000000260,0,0.0,241871,1373,1045317,5
0000000261,0,0.0,241872,1372,1045314,5
0000000262,0,0.0,241871,1377,1045321,6
0000000263,0,0.0,241873,1380,1045209,5
0000000264,0,0.0,241871,1375,1045203,4
0000000265,0,0.0,241873,1378,1045204,5
0000000266,0,0.0,241868,1375,1045204,6
0000000267,0,0.0,241872,1375,1045202,5
0000000268,0,0.0,241873,1381,1045206,5
