Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Coarse-grained Measure, comparisons#, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000122,0,0.0,110592,157,131074,2
0000000123,0,0.0,110592,15,782888,3
0000000124,0,5.885815185403178E-4,110589,3398,782904,2
0000000125,0,0.0,110592,266,782890,2
0000000126,0,0.0,110592,53,782889,3
0000000127,0,0.0,16388,156,36869,1
0000000128,0,0.0,16388,15,45062,0
0000000129,0,5.885815185403178E-4,16385,3398,45078,1
0000000130,0,0.0,16388,264,45062,1
0000000131,0,0.0,16388,52,45062,1
0000000132,0,0.0,614778,434,643455,8
0000000133,0,0.0,827723,13,1045119,10
0000000134,0,0.0,21,9,1045119,2
0000000135,0,0.0,827721,344,1045122,10
0000000136,0,0.0,555483,10,1045123,8
0000000137,0,7.230657989877079E-4,827722,2766,1045129,10
0000000138,0,0.0,167974,17,196650,3
0000000139,0,0.0,1,2,1045707,2
0000000140,0,0.0,82235,234,119104,2
0000000141,0,0.0,82235,233,119103,2
0000000142,0,0.0,82236,39,119103,2
0000000143,0,0.0,82237,13,119103,3
0000000144,0,0.0,13,2,119103,0
0000000145,0,0.0,65618,234,225441,2
0000000146,0,0.0,65617,233,225439,2
0000000147,0,0.0,65619,39,225440,2
0000000148,0,0.0,65619,13,225439,2
0000000149,0,0.0,13,2,225439,1
0000000150,0,0.0,110590,233,782884,2
0000000151,0,0.0,110590,233,782884,2
0000000152,0,0.0,110591,39,782884,2
0000000153,0,0.0,110592,13,782884,3
0000000154,0,0.0,36922,2,782884,1
0000000155,0,0.0,16386,233,45060,1
0000000156,0,0.0,16386,236,45063,1
0000000157,0,0.0,16387,39,45060,1
0000000158,0,0.0,16388,13,45060,1
0000000159,0,0.0,5,2,45060,1
0000000160,0,0.0,827761,140,1045168,9
0000000161,0,0.0,827761,9,1045168,10
0000000162,0,9.720534629404617E-4,827746,16460,1045234,10
0000000163,0,0.0,2,1,1045234,1
0000000164,0,0.0,827760,9,1045233,11
0000000165,0,9.725852531760987E-4,827740,16451,1045225,10
0000000166,0,0.0,495757,2,1045225,6
0000000167,0,0.0,827761,9,1045226,9
0000000168,0,9.726443768996961E-4,827745,16450,1045226,10
0000000169,0,0.0,10609,3,1045226,2
0000000170,0,0.0,827760,9,1045225,11
0000000171,0,9.73295212604173E-4,827743,16439,1045215,9
0000000172,0,0.0,8220,4,1045215,2
0000000173,0,0.0,827761,9,1045216,9
0000000174,0,9.722897423432182E-4,827743,16456,1045234,11
0000000175,0,0.0,14050,5,1045234,2
0000000176,0,0.0,827760,9,1045233,10
0000000177,0,9.73295212604173E-4,827746,16439,1045212,10
0000000178,0,0.0,2,1,1045212,2
0000000179,0,0.0,827761,9,1045213,9
0000000180,0,9.73354422679158E-4,827740,16438,1045213,10
0000000181,0,0.0,8393,2,1045213,1
0000000182,0,0.0,827761,9,1045213,9
0000000183,0,9.73295212604173E-4,827745,16439,1045215,10
0000000184,0,0.0,827761,3,1045215,9
0000000185,0,0.0,827761,9,1045215,10
0000000186,0,9.841308894082913E-4,827756,8129,1045227,10
0000000187,0,0.0,827758,139,1045226,11
