Starting Experiment with Threshold 0.01
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000239,0.00872093023255814,1376,1045206,82
0000000240,0.008689355539464157,1381,1045216,106
0000000241,0.008708272859216255,1378,1045208,114
0000000242,0.008746355685131196,1372,1045228,118
0000000243,0.008733624454148471,1374,1045234,137
0000000244,0.00872093023255814,1376,1045234,122
0000000245,0.008733624454148471,1374,1045259,101
0000000246,0.008733624454148471,1374,1045255,104
0000000247,0.008733624454148471,1374,1045258,95
0000000248,0.008733624454148471,1374,1045262,86
0000000249,0.008727272727272728,1375,1045259,119
0000000250,0.008689355539464157,1381,1045269,71
0000000251,0.00870195794053662,1379,1045266,99
0000000252,0.008714596949891068,1377,1045266,149
0000000253,0.00873998543335761,1373,1045256,103
0000000254,0.008676789587852495,1383,1045270,125
0000000255,0.00870195794053662,1379,1045265,113
0000000256,0.008727272727272728,1375,1045291,112
0000000257,0.00872093023255814,1376,1045297,73
0000000258,0.008714596949891068,1377,1045289,119
0000000259,0.00870195794053662,1379,1045291,103
0000000260,0.00873998543335761,1373,1045317,133
0000000261,0.008746355685131196,1372,1045314,86
0000000262,0.008714596949891068,1377,1045321,100
0000000263,0.008695652173913044,1380,1045209,107
0000000264,0.008727272727272728,1375,1045203,124
0000000265,0.008708272859216255,1378,1045204,76
0000000266,0.008727272727272728,1375,1045204,149
0000000267,0.008727272727272728,1375,1045202,122
0000000268,0.008689355539464157,1381,1045206,110
0000000269,0.008714596949891068,1377,1045210,107
0000000270,0.008708272859216255,1378,1045206,115
0000000271,0.009615384615384616,1040,1045213,100
0000000272,0.009962337504555947,16462,1045261,94066
0000000273,0.009959312564522985,16467,1045267,66060
0000000274,0.009973849054308825,16443,1045272,58055
0000000275,0.009965969859017987,16456,1045344,92755
0000000276,0.009974455662328184,16442,1045329,115841
0000000277,0.009967181232527045,16454,1045370,55441
0000000278,0.009990253411306042,16416,1045338,62730
0000000279,0.00946521533364884,2113,1045288,194
0000000280,0.0,110,1045236,20
0000000281,0.009830022527134958,4883,1045258,1852
0000000282,0.008333333333333333,480,1045266,168
0000000283,0.006006006006006006,333,1045265,166
0000000284,0.0,4,1045270,6
0000000285,0.00980392156862745,204,1045358,244
0000000286,0.0,1,1045358,4
0000000287,0.0,16,1045358,243
0000000288,0.0,40,1045377,245
0000000289,0.009776177000257269,3887,1045396,874
0000000290,0.009916535823485662,12101,1045411,22244
0000000291,0.009806926141587496,9789,1045427,17664
0000000292,0.009990549480221413,7407,1045447,4320
0000000293,0.0,1,1045301,4
0000000294,0.0,16,1045277,169
0000000295,0.009964153350750349,16459,1045510,40325
0000000296,0.009961127308066083,16464,1045607,57961
0000000297,0.009422850412249705,849,1045692,72
0000000298,0.0,9,1045603,240
0000000299,0.009968998845055012,16451,1045593,71266
0000000300,0.009958707796939519,16468,1045638,71512
0000000301,0.00995568506040187,16473,1045627,83172
0000000302,0.008368200836820083,956,1045679,74
0000000303,0.005141388174807198,389,1045318,164
0000000304,0.0,140,1045659,242
0000000305,0.0,9,1045640,239
0000000306,0.009972029672868782,16446,1045579,71981
0000000307,0.009965969859017987,16456,1045651,84777
0000000308,0.009956893934794488,16471,1045737,100750
0000000309,0.009934009792095367,14093,1045606,52132
0000000310,0.009964758779924657,16458,1045618,79413
0000000311,0.009780507221653589,8793,1045669,12935
0000000312,0.009971423359883262,16447,1045621,58927
0000000313,0.009968392900559203,16452,1045626,88992
0000000314,0.009643916913946587,5392,1045723,1739
0000000315,0.006688963210702341,598,1045659,68
0000000316,0.009980271556226064,8617,1045688,6566
0000000317,0.00989716229799737,12933,1045782,30234
0000000318,0.0,82,1045085,211
0000000319,0.009576250897773522,4177,1045124,291
0000000320,0.008298755186721992,482,1045108,246
0000000321,0.006644518272425249,301,1045114,248
0000000322,0.0,4,1045106,11
0000000323,0.005141388174807198,389,1045384,166
0000000324,0.009938140148058007,9861,1045788,9806
0000000325,0.0,82,303196,62
0000000326,0.009576250897773522,4177,303215,117
0000000327,0.008298755186721992,482,303203,58
0000000328,0.006644518272425249,301,303202,58
0000000329,0.0,4,303201,6
0000000330,0.009900990099009901,202,1045091,251
0000000331,0.0,1,1045094,3
0000000332,0.0,16,1045128,258
0000000333,0.0,37,1045127,254
0000000334,0.0056657223796034,353,1045128,246
0000000335,0.009900990099009901,202,303209,57
0000000336,0.0,1,303208,3
0000000337,0.0,16,303207,59
0000000338,0.009487666034155597,3162,1045802,362
0000000339,0.009351256575102279,1711,1045803,89
0000000340,0.009974455662328184,16442,1045791,79942
0000000341,0.009971423359883262,16447,1045796,68488
0000000342,0.009968392900559203,16452,1045801,69316
0000000343,0.009965364282676066,16457,1045806,75356
0000000344,0.009969604863221885,16450,1045799,59453
0000000345,0.009965969859017987,16456,1045822,87513
0000000346,0.009822305562996696,11199,1045825,27088
0000000347,0.00846262341325811,709,1045580,162
0000000348,0.0,9,1045574,161
0000000349,0.009965364282676066,16457,1045857,77019
0000000350,0.009972029672868782,16446,1045862,76358
0000000351,0.009968392900559203,16452,1045869,82058
0000000352,0.009977489809575957,16437,1045853,76978
0000000353,0.009910802775024777,5045,1045858,2544
0000000354,0.009925558312655087,6448,1045866,4350
0000000355,0.009971423359883262,16447,1045874,90625
0000000356,0.009718172983479106,5145,1045899,2919
0000000357,0.0099629427130794,16461,1045892,91615
0000000358,0.009900990099009901,4242,1045893,1295
0000000359,0.009964758779924657,16458,1045887,77105
0000000360,0.009970210955073257,16449,1045881,29146
0000000361,0.009965364282676066,16457,1045883,70588
0000000362,0.0099629427130794,16461,1045885,78344
0000000363,0.009972029672868782,16446,1045868,86953
0000000364,0.009952060197827538,16479,1045899,58776
0000000365,0.009869126796824716,9322,1045878,15516
0000000366,0.009714632665452338,6588,1045871,3803
0000000367,0.009959917405562978,16466,1045881,92998
0000000368,0.009952664158271635,16478,1045893,35853
0000000369,0.009964153350750349,16459,1045870,65671
0000000370,0.009971423359883262,16447,1045854,47793
0000000371,0.009963547995139732,16460,1045868,87736
0000000372,0.009735744089012517,7190,1045854,5986
0000000373,0.009963547995139732,16460,1045861,68347
0000000374,0.009961732369555974,16463,1045863,62902
0000000375,0.009968392900559203,16452,1045853,73292
0000000376,0.009961732369555974,16463,1045863,77878
0000000377,0.009972029672868782,16446,1045845,48855
0000000378,0.009968998845055012,16451,1045849,66023
0000000379,0.009953268192025248,16477,1045875,48483
0000000380,0.009968998845055012,16451,1045846,78743
0000000381,0.008629989212513484,927,1045848,78
0000000382,0.009923045767517213,9876,1045846,11911
0000000383,0.009794319294809012,5105,1045837,1920
0000000384,0.009965364282676066,16457,1045851,53544
0000000385,0.009929078014184398,1410,1045850,122
0000000386,0.009866102889358703,5676,1045854,1102
0000000387,0.00959744068248467,3751,1045855,655
0000000388,0.00997722589740809,9221,1045862,12754
0000000389,0.009830205540661306,6714,1045863,3430
0000000390,0.00998003992015968,3006,1045858,187
0000000391,0.009888357256778309,6270,1045861,4940
0000000392,0.009964153350750349,16459,1045866,97016
0000000393,0.009964758779924657,16458,1045867,47750
0000000394,0.009153318077803204,2185,1045862,315
0000000395,0.009732360097323601,1233,1045578,192
0000000396,0.0,9,1045578,154
0000000397,0.00974817221770918,1231,1045578,160
0000000398,0.0,9,1045578,153
0000000399,0.009724473257698542,1234,1045578,164
0000000400,0.0,9,1045578,60
0000000401,0.009795918367346938,1225,1045580,164
0000000402,0.0,9,1045580,154
0000000403,0.009716599190283401,1235,1045581,162
0000000404,0.0,9,1045581,154
0000000405,0.005012531328320802,399,1045580,151
0000000406,0.0,9,1045579,21
0000000407,0.009967181232527045,16454,1045863,60165
0000000408,0.0,108,762581,201
0000000409,0.009881422924901186,5060,762605,314
0000000410,0.008316008316008316,481,762583,191
0000000411,0.006006006006006006,333,762581,185
0000000412,0.0,4,762581,27
0000000413,0.009685230024213076,1239,1045578,161
0000000414,0.0,9,1045579,18
0000000415,0.00980392156862745,1224,1045578,161
0000000416,0.0,9,1045579,152
0000000417,0.00998502246630055,2003,1045583,295
0000000418,0.0,9,1045583,154
0000000419,0.009976275929192773,16439,1045883,92841
0000000420,0.009968392900559203,16452,1045897,1035
0000000421,0.009962337504555947,16462,1045907,77954
0000000422,0.00989376368502149,12331,1045900,30601
0000000423,0.0,17,1045405,50
0000000424,0.0,17,1045405,102
0000000425,0.009967787029721023,16453,1045897,66619
0000000426,0.009965364282676066,16457,1045902,65808
0000000427,0.009931245225362872,15708,1045901,87443
0000000428,0.0088008800880088,909,1045585,171
0000000429,0.0,9,1045585,158
0000000430,0.0,1,869206,5
0000000431,0.0,16,869218,190
0000000432,0.007532956685499058,531,869226,195
0000000433,0.009934756820877817,13488,1045926,45828
0000000434,0.009957498482088645,16470,1045934,59875
0000000435,0.00997870398539702,16435,1045899,74479
0000000436,0.0099239997487595,15921,1045976,28467
0000000437,0.00990996434829899,16549,1046013,61457
0000000438,0.009954476479514416,16475,1045939,78658
0000000439,0.00994964508887945,16483,1045947,66587
0000000440,0.009982955928901876,16428,1045892,74618
0000000441
